author_id_x,text_x,author_id_y,text_y
115799,@AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.,AirAsiaSupport,@115799 We have replied to you via DM. Check it out =) Yana
115801,@115802 @AirAsiaSupport Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!,AirAsiaSupport,"@115801 Hi Ashutosh , Could you provide us the booking number for further checking. Thanks - Khairul"
116049,@AirAsiaSupport what happen to your system. I could not sent my refund info to e form,AirAsiaSupport,"@116049 Hi Firdaus, we has respond you via DM,see you there! - Anwar"
116243,@AirAsiaSupport saya nak tukar flight sbb reschedule. booking #YIU8NM,AirAsiaSupport,"@116243 Hi Ijan :) Yes sure, we has respond you via DM, see you there!-Anwar"
116720,@AirAsiaSupport name correction my case number 494610,AirAsiaSupport,"@116720 Hi there, there is no payment transaction has been made on your booking number and it is expired. -Jimy"
116784,@AirAsiaSupport activated the E-Gift voucher but I didn't receive any email as it mentioned. How long will it take to process?,AirAsiaSupport,"@116784 Hi There, we has respond you via DM, see you there!- Anwar"
117132,@AirAsiaSupport How long do I need to wait for my credit shell to be processed? I replied the email on 25/10. Need it for new booking.,AirAsiaSupport,@117132 May we have the booking number you are referring to  Oii? -Yana
117480,@115802 Baggage broken by rude mishandling of ground staff from Delhi to Goa.Awaiting response. https://t.co/zEnulXTGGc,AirAsiaSupport,"@117480 Hi,we have checkDPRGOI17A00047 kindly resubmit Eform and appeal https://t.co/umXH2T5eOx team will liaise with you further.Sorry-Mi"
118346,"@AirAsiaSupport clear me the luggage, I think &lt;7kg for Cabin, and how much for extra Luggage may carry without extra chages",AirAsiaSupport,"@118346 Hi Sunil, this is India domestic flight, which is each passenger entitled for 15 KG check in baggage and 7 KH cabin baggage. -Sha"
118348,"@AirAsiaSupport Hi. Please help me to change the salutation (Ms to Mr) for Robos Anak Nyaraw, booking num FF2ZL. Thanks in advance",AirAsiaSupport,"@118348 Hi Apis, salutation correction done for this booking FF2Z4L. Please check your mailbox for the revised itinerary. Thanks- Mariya"
118349,@AirAsiaSupport hi made a booking TK4YWC just now and made a typo in one of the passenger's names..  please help,AirAsiaSupport,@118349 what we can do for you =) Yana
118349,@AirAsiaSupport hi made a booking TK4YWC just now and made a typo in one of the passenger's names..  please help,AirAsiaSupport,"@118349 Hi Srokkanth,may we have the booking number and passengers name and date of birth for correction please? We will see &gt;"
118480,@AirAsiaSupport Why do you close my cases? https://t.co/kn35SwjSWc,AirAsiaSupport,@118480 You may follow up these two cases 00158962 and 00253189. Please note that this process may take up to 30 working days. -Sha
118480,@AirAsiaSupport Why do you close my cases? https://t.co/kn35SwjSWc,AirAsiaSupport,"@118480 Hi Dwi, As we check there is multiple cases under same booking. And your cases are in progress. &gt;&gt;&gt;"
118481,"Hi, @AirAsiaSupport how to retrieve baggage tag no? apparently the staff at the counter forgot to attach my baggage tag barcode at my tix",AirAsiaSupport,"@118481 Hi Nadia, may we have the booking number to check? -Miza"
118482,@AirAsiaSupport Hi - I am trying to add-on baggage from BKK to KUL for tomorrow... is there something wrong with the website...,AirAsiaSupport,"@118482 Hi There, we has respond you by DM,see you there! - Anwar"
118483,@AirAsiaSupport Found a hair in my veg biryani on flight I5-784 today. The flight attendant swapped it asap but a disgrace still,AirAsiaSupport,@118483 &gt;&gt;to the relevant team for investigation. Do submit an official feedback too via our eForm for further assistance. Thanks.-Floi
118483,@AirAsiaSupport Found a hair in my veg biryani on flight I5-784 today. The flight attendant swapped it asap but a disgrace still,AirAsiaSupport,"@118483 Oh no! Sincerest apologies for that, the Crew will definitely have the meal investigated and we'll also forward the feedback &gt;&gt;"
118484,@AirAsiaSupport - I would like to get quote on change to booking ref IJUG2D. Can u help?,AirAsiaSupport,"@118484 Dear Ian, there are no charges since the booking has been rescheduled. Please provide us your preferred time and date . Refer&gt;"
118484,@AirAsiaSupport - I would like to get quote on change to booking ref IJUG2D. Can u help?,AirAsiaSupport,@118484 to the website for available flights.  We will assist you with the flight move =) Yana
